nodes Cols       sent    Processed    Received     Throughput       OverallEnergy                DER        ExperimentNumer         SendDuration
50      296      1196      1196        900         2.5              270.2970716160001      0.7525083612040134      0      300000
50      7        1205      1205        1198        3.3277777        75.263510784           0.9941908713692946      6      300000
50      6        1210      1210        1204        3.34444446       78.682027776           0.9950413223140496      8      300000
50      9        1191      1149        1140        3.166666665      63.15057772800001      0.9571788413098237      5      300000


100      967      2354      2354       1387        3.852777778      532.0061091840001      0.5892098555649957      0      300000
100      15      2336      2336        2321        6.447222222      100.519989504          0.9935787671232876      6      300000
100      13      2381      2381        2368        6.577777775      107.25246259200006      0.994540109197816      8      300000
100      21      2406      2346        2325        6.4583333333     90.83509113600003      0.9663341645885287      5      300000


200      3052      4684      4682      1630        4.52777778       1058.5881968640006      0.3479931682322801     0      300000
200      52      4789      4789        737         13.15833333      197.0902433279999      0.9891417832532888      6      300000
200      64      4911      4911        4847        13.46388889      226.1499102720001      0.9869680309509264      8      300000
200      82      4894      4674        4592        12.75555556      185.48626118400009      0.938291785860237      5      300000


300      5759      7196      7196      1437        3.991666667      1626.3024476159999      0.19969427459699834    0      300000
300      100      7230      7230       7130        19.80555557      269.29108377599977      0.9861687413554634      6      300000
300      85      7225      7225        7140        19.83333332      292.66530585599986      0.9882352941176471      8      300000
300      133      7027      6852       6719        18.66388888      221.82905164800002      0.9561690621887007      5      300000


400      8627      9718      9709      1089        3.025            2196.276707328001      0.11206009466968513      0      300000
400      219      9629      9629       9410        26.13888889      408.10627968000017      0.9772562052134178      6      300000
400      303      9771      9771       9468        26.3             470.4431170560003      0.9689898679766656      8      300000
400      297      9722      9398       9101        25.28055555      368.5528567679999      0.936124254268669      5      300000


500      11099   11930      11903      826         2.294444443      2696.1906892800002    0.06923721709974853      0      300000
500      349     12059      12058      11709       32.525           519.7548364799999      0.9709760344970562      6      300000
500      461     11960      11960      11499       31.94166666      595.032776448          0.9614548494983277      8      300000
500      401     12154      11804      11403       31.675           461.71342348800033      0.9382096429159125      5      300000


600      13727   14335      14261      605         1.68055555556    3239.7228441599955     0.04220439483780956      0      300000
600      446     14627      14627      14181       39.39166666      615.1530485759996       0.9695084432898066      6      300000
600      689     14376      14376      13687       38.01944444      704.8441889279993       0.952072899276572      8      300000
600      646     14235      14001      13355       37.09722222      528.3088360320004      0.9381805409202669      5      300000


700      16344   16741      16535      395         1.097222223      3783.4809999359973   0.023594767337673975      0      300000
700      665     16716      16714      16049       44.58055556      702.5996567040002      0.960098109595597      6      300000
700      753     16627      16627      15874       44.09444444      802.2390858239995      0.9547122150718711      8      300000
